Month,Irradiance,Capacity,Lat,Angle,Temp,Pmax,Vmp,Imp,Voc,Isc,Performance
6,8.37,499.8,25.11,22,26.3,300,32.61,9.2,38.97,9.68,18.44
6,17.11,499.8,25.11,22,27.9,300,32.61,9.2,38.97,9.68,18.44
6,12.26,499.8,25.11,22,28,300,32.61,9.2,38.97,9.68,18.44
6,21.51,499.8,25.11,22,28.6,300,32.61,9.2,38.97,9.68,18.44
6,23.18,499.8,25.11,22,29.1,300,32.61,9.2,38.97,9.68,18.44
6,18.57,499.8,25.11,22,28.3,300,32.61,9.2,38.97,9.68,18.44
6,27.04,499.8,25.11,22,29,300,32.61,9.2,38.97,9.68,18.44
6,28.65,499.8,25.11,22,29.3,300,32.61,9.2,38.97,9.68,18.44
6,28.63,499.8,25.11,22,29.2,300,32.61,9.2,38.97,9.68,18.44
6,28.6,499.8,25.11,22,29.4,300,32.61,9.2,38.97,9.68,18.44
6,26.08,499.8,25.11,22,29.4,300,32.61,9.2,38.97,9.68,18.44
6,27.27,499.8,25.11,22,29.6,300,32.61,9.2,38.97,9.68,18.44
6,21.69,499.8,25.11,22,29.4,300,32.61,9.2,38.97,9.68,18.44
6,25.25,499.8,25.11,22,29.6,300,32.61,9.2,38.97,9.68,18.44
6,26.71,499.8,25.11,22,30.4,300,32.61,9.2,38.97,9.68,18.44
6,26.2,499.8,25.11,22,30.2,300,32.61,9.2,38.97,9.68,18.44
6,27.54,499.8,25.11,22,30.5,300,32.61,9.2,38.97,9.68,18.44
6,20.06,499.8,25.11,22,29.3,300,32.61,9.2,38.97,9.68,18.44
6,27.61,499.8,25.11,22,29.8,300,32.61,9.2,38.97,9.68,18.44
6,26.16,499.8,25.11,22,29.7,300,32.61,9.2,38.97,9.68,18.44
6,24.71,499.8,25.11,22,30.5,300,32.61,9.2,38.97,9.68,18.44
6,23.69,499.8,25.11,22,30.3,300,32.61,9.2,38.97,9.68,18.44
7,20.73,499.8,25.11,22,29.6,300,32.61,9.2,38.97,9.68,18.44
7,16.73,499.8,25.11,22,28.1,300,32.61,9.2,38.97,9.68,18.44
7,18.42,499.8,25.11,22,28.9,300,32.61,9.2,38.97,9.68,18.44
7,24.77,499.8,25.11,22,29.7,300,32.61,9.2,38.97,9.68,18.44
7,25.34,499.8,25.11,22,29.6,300,32.61,9.2,38.97,9.68,18.44
7,24.09,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
7,22.49,499.8,25.11,22,30.4,300,32.61,9.2,38.97,9.68,18.44
7,20.23,499.8,25.11,22,30.2,300,32.61,9.2,38.97,9.68,18.44
7,16.1,499.8,25.11,22,30.4,300,32.61,9.2,38.97,9.68,18.44
7,16.2,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
7,26.32,499.8,25.11,22,29.8,300,32.61,9.2,38.97,9.68,18.44
7,28.28,499.8,25.11,22,30.1,300,32.61,9.2,38.97,9.68,18.44
7,27.13,499.8,25.11,22,30.2,300,32.61,9.2,38.97,9.68,18.44
7,23.27,499.8,25.11,22,30.1,300,32.61,9.2,38.97,9.68,18.44
7,16.95,499.8,25.11,22,30.4,300,32.61,9.2,38.97,9.68,18.44
7,14.82,499.8,25.11,22,30.3,300,32.61,9.2,38.97,9.68,18.44
7,26.91,499.8,25.11,22,30.5,300,32.61,9.2,38.97,9.68,18.44
7,28.19,499.8,25.11,22,30.8,300,32.61,9.2,38.97,9.68,18.44
7,22.21,499.8,25.11,22,30.6,300,32.61,9.2,38.97,9.68,18.44
7,22.24,499.8,25.11,22,29.5,300,32.61,9.2,38.97,9.68,18.44
7,16.62,499.8,25.11,22,29.3,300,32.61,9.2,38.97,9.68,18.44
7,25.28,499.8,25.11,22,29.7,300,32.61,9.2,38.97,9.68,18.44
7,23.16,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
7,26.46,499.8,25.11,22,30.7,300,32.61,9.2,38.97,9.68,18.44
7,17.91,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
7,20.42,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
7,16.89,499.8,25.11,22,29,300,32.61,9.2,38.97,9.68,18.44
7,12.59,499.8,25.11,22,28.8,300,32.61,9.2,38.97,9.68,18.44
7,21.8,499.8,25.11,22,31.2,300,32.61,9.2,38.97,9.68,18.44
7,14.05,499.8,25.11,22,30.6,300,32.61,9.2,38.97,9.68,18.44
7,22.42,499.8,25.11,22,32.2,300,32.61,9.2,38.97,9.68,18.44
8,23.4,499.8,25.11,22,31.1,300,32.61,9.2,38.97,9.68,18.44
8,17.62,499.8,25.11,22,29.6,300,32.61,9.2,38.97,9.68,18.44
8,3.72,499.8,25.11,22,26.2,300,32.61,9.2,38.97,9.68,18.44
8,14.32,499.8,25.11,22,28,300,32.61,9.2,38.97,9.68,18.44
8,15.76,499.8,25.11,22,28.3,300,32.61,9.2,38.97,9.68,18.44
8,26.59,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
8,18.53,499.8,25.11,22,29.5,300,32.61,9.2,38.97,9.68,18.44
8,20.04,499.8,25.11,22,29.2,300,32.61,9.2,38.97,9.68,18.44
8,18.82,499.8,25.11,22,29,300,32.61,9.2,38.97,9.68,18.44
8,15.64,499.8,25.11,22,28.9,300,32.61,9.2,38.97,9.68,18.44
8,6.94,499.8,25.11,22,27.3,300,32.61,9.2,38.97,9.68,18.44
8,22.13,499.8,25.11,22,28.8,300,32.61,9.2,38.97,9.68,18.44
8,21.78,499.8,25.11,22,29.2,300,32.61,9.2,38.97,9.68,18.44
8,16.81,499.8,25.11,22,28.6,300,32.61,9.2,38.97,9.68,18.44
8,15.07,499.8,25.11,22,27.8,300,32.61,9.2,38.97,9.68,18.44
8,15.16,499.8,25.11,22,28,300,32.61,9.2,38.97,9.68,18.44
8,21.94,499.8,25.11,22,30,300,32.61,9.2,38.97,9.68,18.44
